"train/episode","helpful-fog-1823 - train/success_rate","helpful-fog-1823 - train/success_rate__MIN","helpful-fog-1823 - train/success_rate__MAX","helpful-fog-1823 - _step","helpful-fog-1823 - _step__MIN","helpful-fog-1823 - _step__MAX","avid-butterfly-1822 - train/success_rate","avid-butterfly-1822 - train/success_rate__MIN","avid-butterfly-1822 - train/success_rate__MAX","avid-butterfly-1822 - _step","avid-butterfly-1822 - _step__MIN","avid-butterfly-1822 - _step__MAX","ppo-seed-sweep-19 - train/success_rate","ppo-seed-sweep-19 - train/success_rate__MIN","ppo-seed-sweep-19 - train/success_rate__MAX","ppo-seed-sweep-19 - _step","ppo-seed-sweep-19 - _step__MIN","ppo-seed-sweep-19 - _step__MAX","volcanic-sweep-17 - train/success_rate","volcanic-sweep-17 - train/success_rate__MIN","volcanic-sweep-17 - train/success_rate__MAX","volcanic-sweep-17 - _step","volcanic-sweep-17 - _step__MIN","volcanic-sweep-17 - _step__MAX","ppo-seed-sweep-16 - train/success_rate","ppo-seed-sweep-16 - train/success_rate__MIN","ppo-seed-sweep-16 - train/success_rate__MAX","ppo-seed-sweep-16 - _step","ppo-seed-sweep-16 - _step__MIN","ppo-seed-sweep-16 - _step__MAX","skilled-sweep-15 - train/success_rate","skilled-sweep-15 - train/success_rate__MIN","skilled-sweep-15 - train/success_rate__MAX","skilled-sweep-15 - _step","skilled-sweep-15 - _step__MIN","skilled-sweep-15 - _step__MAX","playful-sweep-14 - train/success_rate","playful-sweep-14 - train/success_rate__MIN","playful-sweep-14 - train/success_rate__MAX","playful-sweep-14 - _step","playful-sweep-14 - _step__MIN","playful-sweep-14 - _step__MAX","pious-sweep-13 - train/success_rate","pious-sweep-13 - train/success_rate__MIN","pious-sweep-13 - train/success_rate__MAX","pious-sweep-13 - _step","pious-sweep-13 - _step__MIN","pious-sweep-13 - _step__MAX","crisp-sweep-12 - train/success_rate","crisp-sweep-12 - train/success_rate__MIN","crisp-sweep-12 - train/success_rate__MAX","crisp-sweep-12 - _step","crisp-sweep-12 - _step__MIN","crisp-sweep-12 - _step__MAX","worthy-sweep-9 - train/success_rate","worthy-sweep-9 - train/success_rate__MIN","worthy-sweep-9 - train/success_rate__MAX","worthy-sweep-9 - _step","worthy-sweep-9 - _step__MIN","worthy-sweep-9 - _step__MAX","treasured-sweep-8 - train/success_rate","treasured-sweep-8 - train/success_rate__MIN","treasured-sweep-8 - train/success_rate__MAX","treasured-sweep-8 - _step","treasured-sweep-8 - _step__MIN","treasured-sweep-8 - _step__MAX","sparkling-sweep-7 - train/success_rate","sparkling-sweep-7 - train/success_rate__MIN","sparkling-sweep-7 - train/success_rate__MAX","sparkling-sweep-7 - _step","sparkling-sweep-7 - _step__MIN","sparkling-sweep-7 - _step__MAX","deft-sweep-6 - train/success_rate","deft-sweep-6 - train/success_rate__MIN","deft-sweep-6 - train/success_rate__MAX","deft-sweep-6 - _step","deft-sweep-6 - _step__MIN","deft-sweep-6 - _step__MAX","distinctive-sweep-5 - train/success_rate","distinctive-sweep-5 - train/success_rate__MIN","distinctive-sweep-5 - train/success_rate__MAX","distinctive-sweep-5 - _step","distinctive-sweep-5 - _step__MIN","distinctive-sweep-5 - _step__MAX","clean-sweep-4 - train/success_rate","clean-sweep-4 - train/success_rate__MIN","clean-sweep-4 - train/success_rate__MAX","clean-sweep-4 - _step","clean-sweep-4 - _step__MIN","clean-sweep-4 - _step__MAX","fanciful-sweep-3 - train/success_rate","fanciful-sweep-3 - train/success_rate__MIN","fanciful-sweep-3 - train/success_rate__MAX","fanciful-sweep-3 - _step","fanciful-sweep-3 - _step__MIN","fanciful-sweep-3 - _step__MAX","icy-sweep-1 - train/success_rate","icy-sweep-1 - train/success_rate__MIN","icy-sweep-1 - train/success_rate__MAX","icy-sweep-1 - _step","icy-sweep-1 - _step__MIN","icy-sweep-1 - _step__MAX","breezy-sweep-19 - train/success_rate","breezy-sweep-19 - train/success_rate__MIN","breezy-sweep-19 - train/success_rate__MAX","breezy-sweep-19 - _step","breezy-sweep-19 - _step__MIN","breezy-sweep-19 - _step__MAX","misty-sweep-16 - train/success_rate","misty-sweep-16 - train/success_rate__MIN","misty-sweep-16 - train/success_rate__MAX","misty-sweep-16 - _step","misty-sweep-16 - _step__MIN","misty-sweep-16 - _step__MAX","blooming-sweep-15 - train/success_rate","blooming-sweep-15 - train/success_rate__MIN","blooming-sweep-15 - train/success_rate__MAX","blooming-sweep-15 - _step","blooming-sweep-15 - _step__MIN","blooming-sweep-15 - _step__MAX"
"478","0.64","0.64","0.64","478","478","478","0.68","0.68","0.68","478","478","478","0.01","0.01","0.01","478","478","478","0.33","0.33","0.33","478","478","478","0.04","0.04","0.04","478","478","478","1","1","1","478","478","478","0.97","0.97","0.97","478","478","478","0.96","0.96","0.96","478","478","478","0","0","0","478","478","478","0.77","0.77","0.77","478","478","478","1","1","1","478","478","478","0","0","0","478","478","478","0","0","0","478","478","478","1","1","1","478","478","478","0.99","0.99","0.99","478","478","478","0.99","0.99","0.99","478","478","478","1","1","1","478","478","478","0.39","0.39","0.39","478","478","478","0.98","0.98","0.98","478","478","478","1","1","1","478","478","478"
"479","0.65","0.65","0.65","479","479","479","0.69","0.69","0.69","479","479","479","0.01","0.01","0.01","479","479","479","0.34","0.34","0.34","479","479","479","0.04","0.04","0.04","479","479","479","1","1","1","479","479","479","0.97","0.97","0.97","479","479","479","0.96","0.96","0.96","479","479","479","0","0","0","479","479","479","0.77","0.77","0.77","479","479","479","1","1","1","479","479","479","0","0","0","479","479","479","0","0","0","479","479","479","1","1","1","479","479","479","0.99","0.99","0.99","479","479","479","0.99","0.99","0.99","479","479","479","1","1","1","479","479","479","0.4","0.4","0.4","479","479","479","0.98","0.98","0.98","479","479","479","1","1","1","479","479","479"
"480","0.66","0.66","0.66","480","480","480","0.69","0.69","0.69","480","480","480","0.01","0.01","0.01","480","480","480","0.35","0.35","0.35","480","480","480","0.04","0.04","0.04","480","480","480","1","1","1","480","480","480","0.97","0.97","0.97","480","480","480","0.96","0.96","0.96","480","480","480","0","0","0","480","480","480","0.77","0.77","0.77","480","480","480","1","1","1","480","480","480","0","0","0","480","480","480","0","0","0","480","480","480","1","1","1","480","480","480","0.99","0.99","0.99","480","480","480","0.99","0.99","0.99","480","480","480","1","1","1","480","480","480","0.4","0.4","0.4","480","480","480","0.98","0.98","0.98","480","480","480","1","1","1","480","480","480"
"481","0.67","0.67","0.67","481","481","481","0.7","0.7","0.7","481","481","481","0.01","0.01","0.01","481","481","481","0.36","0.36","0.36","481","481","481","0.04","0.04","0.04","481","481","481","1","1","1","481","481","481","0.97","0.97","0.97","481","481","481","0.96","0.96","0.96","481","481","481","0","0","0","481","481","481","0.78","0.78","0.78","481","481","481","1","1","1","481","481","481","0","0","0","481","481","481","0","0","0","481","481","481","1","1","1","481","481","481","0.99","0.99","0.99","481","481","481","0.99","0.99","0.99","481","481","481","1","1","1","481","481","481","0.41","0.41","0.41","481","481","481","0.98","0.98","0.98","481","481","481","1","1","1","481","481","481"
"482","0.68","0.68","0.68","482","482","482","0.71","0.71","0.71","482","482","482","0.01","0.01","0.01","482","482","482","0.37","0.37","0.37","482","482","482","0.05","0.05","0.05","482","482","482","1","1","1","482","482","482","0.97","0.97","0.97","482","482","482","0.96","0.96","0.96","482","482","482","0","0","0","482","482","482","0.79","0.79","0.79","482","482","482","1","1","1","482","482","482","0","0","0","482","482","482","0","0","0","482","482","482","1","1","1","482","482","482","0.99","0.99","0.99","482","482","482","0.99","0.99","0.99","482","482","482","1","1","1","482","482","482","0.42","0.42","0.42","482","482","482","0.98","0.98","0.98","482","482","482","1","1","1","482","482","482"
"483","0.69","0.69","0.69","483","483","483","0.72","0.72","0.72","483","483","483","0.01","0.01","0.01","483","483","483","0.38","0.38","0.38","483","483","483","0.05","0.05","0.05","483","483","483","1","1","1","483","483","483","0.97","0.97","0.97","483","483","483","0.96","0.96","0.96","483","483","483","0","0","0","483","483","483","0.79","0.79","0.79","483","483","483","1","1","1","483","483","483","0","0","0","483","483","483","0.01","0.01","0.01","483","483","483","1","1","1","483","483","483","0.99","0.99","0.99","483","483","483","0.99","0.99","0.99","483","483","483","1","1","1","483","483","483","0.43","0.43","0.43","483","483","483","0.98","0.98","0.98","483","483","483","1","1","1","483","483","483"
"484","0.7","0.7","0.7","484","484","484","0.73","0.73","0.73","484","484","484","0.01","0.01","0.01","484","484","484","0.39","0.39","0.39","484","484","484","0.06","0.06","0.06","484","484","484","1","1","1","484","484","484","0.97","0.97","0.97","484","484","484","0.96","0.96","0.96","484","484","484","0","0","0","484","484","484","0.8","0.8","0.8","484","484","484","1","1","1","484","484","484","0","0","0","484","484","484","0.01","0.01","0.01","484","484","484","1","1","1","484","484","484","0.99","0.99","0.99","484","484","484","0.99","0.99","0.99","484","484","484","1","1","1","484","484","484","0.44","0.44","0.44","484","484","484","0.98","0.98","0.98","484","484","484","1","1","1","484","484","484"
"485","0.71","0.71","0.71","485","485","485","0.74","0.74","0.74","485","485","485","0.01","0.01","0.01","485","485","485","0.4","0.4","0.4","485","485","485","0.07","0.07","0.07","485","485","485","1","1","1","485","485","485","0.98","0.98","0.98","485","485","485","0.96","0.96","0.96","485","485","485","0","0","0","485","485","485","0.81","0.81","0.81","485","485","485","1","1","1","485","485","485","0","0","0","485","485","485","0.01","0.01","0.01","485","485","485","1","1","1","485","485","485","0.99","0.99","0.99","485","485","485","0.99","0.99","0.99","485","485","485","1","1","1","485","485","485","0.45","0.45","0.45","485","485","485","0.98","0.98","0.98","485","485","485","1","1","1","485","485","485"
"486","0.72","0.72","0.72","486","486","486","0.75","0.75","0.75","486","486","486","0.01","0.01","0.01","486","486","486","0.41","0.41","0.41","486","486","486","0.07","0.07","0.07","486","486","486","1","1","1","486","486","486","0.99","0.99","0.99","486","486","486","0.96","0.96","0.96","486","486","486","0","0","0","486","486","486","0.82","0.82","0.82","486","486","486","1","1","1","486","486","486","0","0","0","486","486","486","0.01","0.01","0.01","486","486","486","1","1","1","486","486","486","0.99","0.99","0.99","486","486","486","0.99","0.99","0.99","486","486","486","1","1","1","486","486","486","0.46","0.46","0.46","486","486","486","0.98","0.98","0.98","486","486","486","1","1","1","486","486","486"
"487","0.73","0.73","0.73","487","487","487","0.75","0.75","0.75","487","487","487","0.01","0.01","0.01","487","487","487","0.42","0.42","0.42","487","487","487","0.07","0.07","0.07","487","487","487","1","1","1","487","487","487","1","1","1","487","487","487","0.96","0.96","0.96","487","487","487","0","0","0","487","487","487","0.83","0.83","0.83","487","487","487","1","1","1","487","487","487","0","0","0","487","487","487","0.01","0.01","0.01","487","487","487","1","1","1","487","487","487","0.99","0.99","0.99","487","487","487","0.99","0.99","0.99","487","487","487","1","1","1","487","487","487","0.47","0.47","0.47","487","487","487","0.99","0.99","0.99","487","487","487","1","1","1","487","487","487"
"488","0.74","0.74","0.74","488","488","488","0.75","0.75","0.75","488","488","488","0.01","0.01","0.01","488","488","488","0.43","0.43","0.43","488","488","488","0.07","0.07","0.07","488","488","488","1","1","1","488","488","488","1","1","1","488","488","488","0.96","0.96","0.96","488","488","488","0","0","0","488","488","488","0.83","0.83","0.83","488","488","488","1","1","1","488","488","488","0","0","0","488","488","488","0.01","0.01","0.01","488","488","488","1","1","1","488","488","488","0.99","0.99","0.99","488","488","488","0.99","0.99","0.99","488","488","488","1","1","1","488","488","488","0.48","0.48","0.48","488","488","488","0.99","0.99","0.99","488","488","488","1","1","1","488","488","488"
"489","0.75","0.75","0.75","489","489","489","0.75","0.75","0.75","489","489","489","0.02","0.02","0.02","489","489","489","0.44","0.44","0.44","489","489","489","0.07","0.07","0.07","489","489","489","1","1","1","489","489","489","1","1","1","489","489","489","0.96","0.96","0.96","489","489","489","0","0","0","489","489","489","0.84","0.84","0.84","489","489","489","1","1","1","489","489","489","0.01","0.01","0.01","489","489","489","0.01","0.01","0.01","489","489","489","1","1","1","489","489","489","0.99","0.99","0.99","489","489","489","0.99","0.99","0.99","489","489","489","1","1","1","489","489","489","0.49","0.49","0.49","489","489","489","0.99","0.99","0.99","489","489","489","1","1","1","489","489","489"
"490","0.76","0.76","0.76","490","490","490","0.75","0.75","0.75","490","490","490","0.03","0.03","0.03","490","490","490","0.45","0.45","0.45","490","490","490","0.07","0.07","0.07","490","490","490","1","1","1","490","490","490","1","1","1","490","490","490","0.96","0.96","0.96","490","490","490","0","0","0","490","490","490","0.85","0.85","0.85","490","490","490","1","1","1","490","490","490","0.01","0.01","0.01","490","490","490","0.01","0.01","0.01","490","490","490","1","1","1","490","490","490","0.99","0.99","0.99","490","490","490","0.99","0.99","0.99","490","490","490","1","1","1","490","490","490","0.49","0.49","0.49","490","490","490","0.99","0.99","0.99","490","490","490","1","1","1","490","490","490"
"491","0.76","0.76","0.76","491","491","491","0.75","0.75","0.75","491","491","491","0.04","0.04","0.04","491","491","491","0.46","0.46","0.46","491","491","491","0.08","0.08","0.08","491","491","491","1","1","1","491","491","491","1","1","1","491","491","491","0.96","0.96","0.96","491","491","491","0","0","0","491","491","491","0.86","0.86","0.86","491","491","491","1","1","1","491","491","491","0.01","0.01","0.01","491","491","491","0.01","0.01","0.01","491","491","491","1","1","1","491","491","491","0.99","0.99","0.99","491","491","491","0.99","0.99","0.99","491","491","491","1","1","1","491","491","491","0.49","0.49","0.49","491","491","491","0.99","0.99","0.99","491","491","491","1","1","1","491","491","491"
"492","0.76","0.76","0.76","492","492","492","0.75","0.75","0.75","492","492","492","0.04","0.04","0.04","492","492","492","0.47","0.47","0.47","492","492","492","0.08","0.08","0.08","492","492","492","1","1","1","492","492","492","1","1","1","492","492","492","0.96","0.96","0.96","492","492","492","0","0","0","492","492","492","0.86","0.86","0.86","492","492","492","1","1","1","492","492","492","0.01","0.01","0.01","492","492","492","0.01","0.01","0.01","492","492","492","1","1","1","492","492","492","0.99","0.99","0.99","492","492","492","0.99","0.99","0.99","492","492","492","1","1","1","492","492","492","0.5","0.5","0.5","492","492","492","0.99","0.99","0.99","492","492","492","1","1","1","492","492","492"
"493","0.76","0.76","0.76","493","493","493","0.76","0.76","0.76","493","493","493","0.04","0.04","0.04","493","493","493","0.48","0.48","0.48","493","493","493","0.08","0.08","0.08","493","493","493","1","1","1","493","493","493","1","1","1","493","493","493","0.96","0.96","0.96","493","493","493","0","0","0","493","493","493","0.87","0.87","0.87","493","493","493","1","1","1","493","493","493","0.01","0.01","0.01","493","493","493","0.01","0.01","0.01","493","493","493","1","1","1","493","493","493","0.99","0.99","0.99","493","493","493","0.99","0.99","0.99","493","493","493","1","1","1","493","493","493","0.51","0.51","0.51","493","493","493","0.99","0.99","0.99","493","493","493","1","1","1","493","493","493"
"494","0.76","0.76","0.76","494","494","494","0.77","0.77","0.77","494","494","494","0.04","0.04","0.04","494","494","494","0.49","0.49","0.49","494","494","494","0.08","0.08","0.08","494","494","494","1","1","1","494","494","494","1","1","1","494","494","494","0.96","0.96","0.96","494","494","494","0","0","0","494","494","494","0.88","0.88","0.88","494","494","494","1","1","1","494","494","494","0.02","0.02","0.02","494","494","494","0.01","0.01","0.01","494","494","494","1","1","1","494","494","494","0.99","0.99","0.99","494","494","494","0.99","0.99","0.99","494","494","494","1","1","1","494","494","494","0.52","0.52","0.52","494","494","494","0.99","0.99","0.99","494","494","494","1","1","1","494","494","494"
"495","0.76","0.76","0.76","495","495","495","0.78","0.78","0.78","495","495","495","0.04","0.04","0.04","495","495","495","0.5","0.5","0.5","495","495","495","0.08","0.08","0.08","495","495","495","1","1","1","495","495","495","1","1","1","495","495","495","0.96","0.96","0.96","495","495","495","0","0","0","495","495","495","0.89","0.89","0.89","495","495","495","1","1","1","495","495","495","0.03","0.03","0.03","495","495","495","0.01","0.01","0.01","495","495","495","1","1","1","495","495","495","0.99","0.99","0.99","495","495","495","0.99","0.99","0.99","495","495","495","1","1","1","495","495","495","0.53","0.53","0.53","495","495","495","0.99","0.99","0.99","495","495","495","1","1","1","495","495","495"
"496","0.77","0.77","0.77","496","496","496","0.79","0.79","0.79","496","496","496","0.04","0.04","0.04","496","496","496","0.51","0.51","0.51","496","496","496","0.08","0.08","0.08","496","496","496","1","1","1","496","496","496","1","1","1","496","496","496","0.96","0.96","0.96","496","496","496","0","0","0","496","496","496","0.89","0.89","0.89","496","496","496","1","1","1","496","496","496","0.03","0.03","0.03","496","496","496","0.01","0.01","0.01","496","496","496","1","1","1","496","496","496","0.99","0.99","0.99","496","496","496","0.99","0.99","0.99","496","496","496","1","1","1","496","496","496","0.54","0.54","0.54","496","496","496","0.99","0.99","0.99","496","496","496","1","1","1","496","496","496"
"497","0.78","0.78","0.78","497","497","497","0.8","0.8","0.8","497","497","497","0.04","0.04","0.04","497","497","497","0.52","0.52","0.52","497","497","497","0.08","0.08","0.08","497","497","497","1","1","1","497","497","497","1","1","1","497","497","497","0.96","0.96","0.96","497","497","497","0","0","0","497","497","497","0.9","0.9","0.9","497","497","497","1","1","1","497","497","497","0.04","0.04","0.04","497","497","497","0.01","0.01","0.01","497","497","497","1","1","1","497","497","497","0.99","0.99","0.99","497","497","497","0.99","0.99","0.99","497","497","497","1","1","1","497","497","497","0.55","0.55","0.55","497","497","497","0.99","0.99","0.99","497","497","497","1","1","1","497","497","497"
"498","0.79","0.79","0.79","498","498","498","0.81","0.81","0.81","498","498","498","0.04","0.04","0.04","498","498","498","0.53","0.53","0.53","498","498","498","0.08","0.08","0.08","498","498","498","1","1","1","498","498","498","1","1","1","498","498","498","0.96","0.96","0.96","498","498","498","0","0","0","498","498","498","0.9","0.9","0.9","498","498","498","1","1","1","498","498","498","0.05","0.05","0.05","498","498","498","0.01","0.01","0.01","498","498","498","1","1","1","498","498","498","0.99","0.99","0.99","498","498","498","1","1","1","498","498","498","1","1","1","498","498","498","0.56","0.56","0.56","498","498","498","0.99","0.99","0.99","498","498","498","1","1","1","498","498","498"
"499","0.8","0.8","0.8","499","499","499","0.82","0.82","0.82","499","499","499","0.04","0.04","0.04","499","499","499","0.54","0.54","0.54","499","499","499","0.08","0.08","0.08","499","499","499","1","1","1","499","499","499","0.99","0.99","0.99","499","499","499","0.96","0.96","0.96","499","499","499","0","0","0","499","499","499","0.9","0.9","0.9","499","499","499","1","1","1","499","499","499","0.06","0.06","0.06","499","499","499","0.01","0.01","0.01","499","499","499","1","1","1","499","499","499","0.99","0.99","0.99","499","499","499","1","1","1","499","499","499","1","1","1","499","499","499","0.57","0.57","0.57","499","499","499","0.99","0.99","0.99","499","499","499","1","1","1","499","499","499"
"500","0.8","0.8","0.8","500","500","500","0.82","0.82","0.82","500","500","500","0.04","0.04","0.04","500","500","500","0.55","0.55","0.55","500","500","500","0.08","0.08","0.08","500","500","500","1","1","1","500","500","500","0.98","0.98","0.98","500","500","500","0.96","0.96","0.96","500","500","500","0","0","0","500","500","500","0.9","0.9","0.9","500","500","500","1","1","1","500","500","500","0.06","0.06","0.06","500","500","500","0.01","0.01","0.01","500","500","500","1","1","1","500","500","500","0.99","0.99","0.99","500","500","500","1","1","1","500","500","500","1","1","1","500","500","500","0.58","0.58","0.58","500","500","500","0.99","0.99","0.99","500","500","500","1","1","1","500","500","500"
"501","0.81","0.81","0.81","501","501","501","0.82","0.82","0.82","501","501","501","0.04","0.04","0.04","501","501","501","0.56","0.56","0.56","501","501","501","0.08","0.08","0.08","501","501","501","1","1","1","501","501","501","0.97","0.97","0.97","501","501","501","0.96","0.96","0.96","501","501","501","0","0","0","501","501","501","0.91","0.91","0.91","501","501","501","1","1","1","501","501","501","0.07","0.07","0.07","501","501","501","0.01","0.01","0.01","501","501","501","1","1","1","501","501","501","1","1","1","501","501","501","1","1","1","501","501","501","1","1","1","501","501","501","0.59","0.59","0.59","501","501","501","0.99","0.99","0.99","501","501","501","1","1","1","501","501","501"
"502","0.81","0.81","0.81","502","502","502","0.83","0.83","0.83","502","502","502","0.04","0.04","0.04","502","502","502","0.57","0.57","0.57","502","502","502","0.08","0.08","0.08","502","502","502","1","1","1","502","502","502","0.96","0.96","0.96","502","502","502","0.96","0.96","0.96","502","502","502","0","0","0","502","502","502","0.91","0.91","0.91","502","502","502","1","1","1","502","502","502","0.08","0.08","0.08","502","502","502","0.01","0.01","0.01","502","502","502","1","1","1","502","502","502","1","1","1","502","502","502","1","1","1","502","502","502","1","1","1","502","502","502","0.6","0.6","0.6","502","502","502","0.98","0.98","0.98","502","502","502","1","1","1","502","502","502"
"503","0.82","0.82","0.82","503","503","503","0.84","0.84","0.84","503","503","503","0.04","0.04","0.04","503","503","503","0.58","0.58","0.58","503","503","503","0.08","0.08","0.08","503","503","503","1","1","1","503","503","503","0.96","0.96","0.96","503","503","503","0.96","0.96","0.96","503","503","503","0","0","0","503","503","503","0.91","0.91","0.91","503","503","503","1","1","1","503","503","503","0.08","0.08","0.08","503","503","503","0.01","0.01","0.01","503","503","503","1","1","1","503","503","503","1","1","1","503","503","503","1","1","1","503","503","503","1","1","1","503","503","503","0.61","0.61","0.61","503","503","503","0.98","0.98","0.98","503","503","503","1","1","1","503","503","503"
"504","0.83","0.83","0.83","504","504","504","0.85","0.85","0.85","504","504","504","0.05","0.05","0.05","504","504","504","0.59","0.59","0.59","504","504","504","0.08","0.08","0.08","504","504","504","1","1","1","504","504","504","0.96","0.96","0.96","504","504","504","0.96","0.96","0.96","504","504","504","0","0","0","504","504","504","0.91","0.91","0.91","504","504","504","1","1","1","504","504","504","0.08","0.08","0.08","504","504","504","0.01","0.01","0.01","504","504","504","0.99","0.99","0.99","504","504","504","1","1","1","504","504","504","1","1","1","504","504","504","1","1","1","504","504","504","0.62","0.62","0.62","504","504","504","0.97","0.97","0.97","504","504","504","1","1","1","504","504","504"
"505","0.83","0.83","0.83","505","505","505","0.86","0.86","0.86","505","505","505","0.06","0.06","0.06","505","505","505","0.6","0.6","0.6","505","505","505","0.08","0.08","0.08","505","505","505","1","1","1","505","505","505","0.96","0.96","0.96","505","505","505","0.96","0.96","0.96","505","505","505","0","0","0","505","505","505","0.92","0.92","0.92","505","505","505","1","1","1","505","505","505","0.08","0.08","0.08","505","505","505","0.01","0.01","0.01","505","505","505","0.98","0.98","0.98","505","505","505","1","1","1","505","505","505","1","1","1","505","505","505","1","1","1","505","505","505","0.63","0.63","0.63","505","505","505","0.96","0.96","0.96","505","505","505","1","1","1","505","505","505"
"506","0.83","0.83","0.83","506","506","506","0.87","0.87","0.87","506","506","506","0.06","0.06","0.06","506","506","506","0.61","0.61","0.61","506","506","506","0.09","0.09","0.09","506","506","506","1","1","1","506","506","506","0.96","0.96","0.96","506","506","506","0.96","0.96","0.96","506","506","506","0","0","0","506","506","506","0.93","0.93","0.93","506","506","506","1","1","1","506","506","506","0.08","0.08","0.08","506","506","506","0.01","0.01","0.01","506","506","506","0.97","0.97","0.97","506","506","506","0.99","0.99","0.99","506","506","506","1","1","1","506","506","506","1","1","1","506","506","506","0.64","0.64","0.64","506","506","506","0.96","0.96","0.96","506","506","506","1","1","1","506","506","506"
"507","0.83","0.83","0.83","507","507","507","0.88","0.88","0.88","507","507","507","0.06","0.06","0.06","507","507","507","0.62","0.62","0.62","507","507","507","0.09","0.09","0.09","507","507","507","1","1","1","507","507","507","0.96","0.96","0.96","507","507","507","0.96","0.96","0.96","507","507","507","0","0","0","507","507","507","0.94","0.94","0.94","507","507","507","1","1","1","507","507","507","0.09","0.09","0.09","507","507","507","0.01","0.01","0.01","507","507","507","0.96","0.96","0.96","507","507","507","0.98","0.98","0.98","507","507","507","1","1","1","507","507","507","1","1","1","507","507","507","0.65","0.65","0.65","507","507","507","0.95","0.95","0.95","507","507","507","1","1","1","507","507","507"
"508","0.83","0.83","0.83","508","508","508","0.88","0.88","0.88","508","508","508","0.07","0.07","0.07","508","508","508","0.63","0.63","0.63","508","508","508","0.09","0.09","0.09","508","508","508","1","1","1","508","508","508","0.96","0.96","0.96","508","508","508","0.96","0.96","0.96","508","508","508","0","0","0","508","508","508","0.94","0.94","0.94","508","508","508","1","1","1","508","508","508","0.09","0.09","0.09","508","508","508","0.01","0.01","0.01","508","508","508","0.95","0.95","0.95","508","508","508","0.98","0.98","0.98","508","508","508","1","1","1","508","508","508","1","1","1","508","508","508","0.66","0.66","0.66","508","508","508","0.94","0.94","0.94","508","508","508","1","1","1","508","508","508"
"509","0.83","0.83","0.83","509","509","509","0.89","0.89","0.89","509","509","509","0.08","0.08","0.08","509","509","509","0.64","0.64","0.64","509","509","509","0.1","0.1","0.1","509","509","509","1","1","1","509","509","509","0.96","0.96","0.96","509","509","509","0.96","0.96","0.96","509","509","509","0","0","0","509","509","509","0.94","0.94","0.94","509","509","509","1","1","1","509","509","509","0.09","0.09","0.09","509","509","509","0.01","0.01","0.01","509","509","509","0.94","0.94","0.94","509","509","509","0.97","0.97","0.97","509","509","509","1","1","1","509","509","509","1","1","1","509","509","509","0.67","0.67","0.67","509","509","509","0.93","0.93","0.93","509","509","509","1","1","1","509","509","509"
"510","0.83","0.83","0.83","510","510","510","0.9","0.9","0.9","510","510","510","0.09","0.09","0.09","510","510","510","0.65","0.65","0.65","510","510","510","0.11","0.11","0.11","510","510","510","1","1","1","510","510","510","0.96","0.96","0.96","510","510","510","0.96","0.96","0.96","510","510","510","0","0","0","510","510","510","0.95","0.95","0.95","510","510","510","1","1","1","510","510","510","0.09","0.09","0.09","510","510","510","0.01","0.01","0.01","510","510","510","0.93","0.93","0.93","510","510","510","0.96","0.96","0.96","510","510","510","1","1","1","510","510","510","1","1","1","510","510","510","0.68","0.68","0.68","510","510","510","0.93","0.93","0.93","510","510","510","1","1","1","510","510","510"
"511","0.84","0.84","0.84","511","511","511","0.91","0.91","0.91","511","511","511","0.1","0.1","0.1","511","511","511","0.66","0.66","0.66","511","511","511","0.12","0.12","0.12","511","511","511","1","1","1","511","511","511","0.96","0.96","0.96","511","511","511","0.96","0.96","0.96","511","511","511","0","0","0","511","511","511","0.95","0.95","0.95","511","511","511","1","1","1","511","511","511","0.09","0.09","0.09","511","511","511","0.01","0.01","0.01","511","511","511","0.92","0.92","0.92","511","511","511","0.95","0.95","0.95","511","511","511","1","1","1","511","511","511","1","1","1","511","511","511","0.69","0.69","0.69","511","511","511","0.93","0.93","0.93","511","511","511","1","1","1","511","511","511"
"512","0.85","0.85","0.85","512","512","512","0.92","0.92","0.92","512","512","512","0.11","0.11","0.11","512","512","512","0.67","0.67","0.67","512","512","512","0.13","0.13","0.13","512","512","512","1","1","1","512","512","512","0.96","0.96","0.96","512","512","512","0.96","0.96","0.96","512","512","512","0","0","0","512","512","512","0.95","0.95","0.95","512","512","512","1","1","1","512","512","512","0.1","0.1","0.1","512","512","512","0.01","0.01","0.01","512","512","512","0.91","0.91","0.91","512","512","512","0.95","0.95","0.95","512","512","512","1","1","1","512","512","512","1","1","1","512","512","512","0.7","0.7","0.7","512","512","512","0.93","0.93","0.93","512","512","512","1","1","1","512","512","512"
"513","0.86","0.86","0.86","513","513","513","0.93","0.93","0.93","513","513","513","0.11","0.11","0.11","513","513","513","0.67","0.67","0.67","513","513","513","0.14","0.14","0.14","513","513","513","1","1","1","513","513","513","0.96","0.96","0.96","513","513","513","0.96","0.96","0.96","513","513","513","0","0","0","513","513","513","0.95","0.95","0.95","513","513","513","1","1","1","513","513","513","0.11","0.11","0.11","513","513","513","0.01","0.01","0.01","513","513","513","0.9","0.9","0.9","513","513","513","0.95","0.95","0.95","513","513","513","1","1","1","513","513","513","1","1","1","513","513","513","0.71","0.71","0.71","513","513","513","0.93","0.93","0.93","513","513","513","1","1","1","513","513","513"
